Pasaje,FVenta,FPago,Usuario,Tarifa (Gs.),Desc/Rec,Importe (Gs.),Ori,Des,FViaje,As,RG345
110011580000001,31/07 18:53,EFECTIVO,BOLETOS,130.000,—,130.000,TAI,ASU,01/08 3:30,44,—
110011580000002,01/08 16:53,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,03/08 4:15,13,—
110011580000003,01/08 17:08,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,03/08 18:45,28,—
90012350000001,02/08 13:07,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,03/08 9:00,8,—
90012350000002,02/08 13:22,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,05/08 13:15,22,—
110011580000004,02/08 13:28,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,05/08 10:15,28,—
110011580000005,02/08 13:31,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,05/08 13:00,28,—
90012350000003,02/08 13:32,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,06/08 9:00,28,—
90012350000004,02/08 13:48,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,06/08 9:00,32,—
90012350000005,02/08 13:52,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,07/08 9:00,26,—
110011580000006,02/08 14:41,EFECTIVO,BOLETOS,110.000,—,110.000,ASU,ANT,06/08 20:15,17,—
110011580000007,03/08 23:23,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,11/08 10:15,15,—
110011580000008,04/08 10:38,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,04/08 18:45,5,—
110011580000009,04/08 10:40,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,04/08 18:45,9,—
110011580000010,04/08 10:42,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,04/08 18:45,13,—
90012350000006,04/08 16:35,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,09/08 13:15,4,—
110011580000011,04/08 16:38,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,12/08 10:15,4,—
90012350000007,04/08 16:40,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,17/08 13:15,12,—
110011580000012,05/08 19:18,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,07/08 4:15,44,—
110011580000013,05/08 19:24,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,10/08 4:15,24,—
110011580000014,05/08 19:28,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,11/08 7:15,12,—
110011580000015,05/08 19:30,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,11/08 7:15,6,—
90012350000008,05/08 19:31,EFECTIVO,BOLETOS,50.000,—,50.000,ASU,25D,12/08 9:00,20,—
TOTAL,,,,1.290.000,0,1.290.000,,,,23 boletos,
